,trainer/global_step,train_teacher_forcing_acc,_step,train_loss,_runtime,epoch,_timestamp,interpolate_loss,interpolate_teacher_forcing_acc,extrapolate_loss,extrapolate_teacher_forcing_acc,interpolate_perplexity,extrapolate_perplexity,in_block_size,d_model,decoder_kwargs,symbol_retrieval_kwargs,out_dim,loss_ignore_idx,n_layers_enc,input_spec,abstractor_kwargs,symbol_retrieval,encoder_kwargs,group,output_spec,out_block_size,n_layers_dec,name
48,160145,0.6708194613456726,48,0.9231491684913635,10587.540339946747,40,1722856655.046016,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
49,164051,0.6769208312034607,49,0.9034858345985413,10836.009596586227,41,1722856903.5152726,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
50,167957,0.683887243270874,50,0.8803050518035889,11084.458997964859,42,1722857151.964674,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
51,171863,0.6862837076187134,51,0.874226450920105,11332.903042554855,43,1722857400.4087186,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
52,175769,,52,,11629.536127567291,44,1722857697.0418036,1.4272454977035522,0.5226418375968933,1.4272454977035522,0.5226418375968933,4.168402671813965,4.168402671813965,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
53,175769,0.6961771249771118,53,0.8406580686569214,11629.537741661072,44,1722857697.0434177,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
54,179675,0.701384961605072,54,0.823484480381012,11878.729932069778,45,1722857946.235608,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
55,183581,0.7069631814956665,55,0.8054429292678833,12127.293728351593,46,1722858194.7994044,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
56,187487,0.7148397564888,56,0.7822384238243103,12375.794663190842,47,1722858443.3003392,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
57,191393,0.7241233587265015,57,0.751266360282898,12624.299512147903,48,1722858691.8051882,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
