,_step,train_loss,epoch,_runtime,_timestamp,interpolate_loss,trainer/global_step,extrapolate_teacher_forcing_acc,train_teacher_forcing_acc,interpolate_teacher_forcing_acc,extrapolate_loss,extrapolate_perplexity,interpolate_perplexity,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
46,46,,39,13209.325320482254,1723902860.7713466,0.3530144691467285,156239,0.8645603656768799,,0.8645603656768799,0.3530144691467285,1.4234591722488403,1.4234591722488403,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
47,47,0.2608209550380707,39,13209.32707953453,1723902860.7731056,,156239,,0.9016256928443909,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
48,48,0.25863009691238403,40,13527.307130813599,1723903178.753157,,160145,,0.9025948643684387,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
49,49,0.2556932866573334,41,13845.151055812836,1723903496.597082,,164051,,0.9037848711013794,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
50,50,0.2517613172531128,42,14162.937353610992,1723903814.3833797,,167957,,0.9053191542625427,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
51,51,0.24843508005142212,43,14480.706679344177,1723904132.1527054,,171863,,0.9067126512527466,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
52,52,,44,14857.801740646362,1723904509.2477667,0.343635231256485,175769,0.868839681148529,,0.868839681148529,0.343635231256485,1.410178780555725,1.410178780555725,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
53,53,0.24567991495132446,44,14857.803490400314,1723904509.2495165,,175769,,0.9078691005706787,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
54,54,0.24314118921756744,45,15175.762068271637,1723904827.2080944,,179675,,0.9089787006378174,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
55,55,0.24052059650421143,46,15493.97142624855,1723905145.4174523,,183581,,0.9099788665771484,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
56,56,0.23769761621952057,47,15812.228657960892,1723905463.674684,,187487,,0.9111686944961548,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
57,57,0.23501645028591156,48,16130.37971496582,1723905781.825741,,191393,,0.9122201800346375,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
58,58,,49,16507.78091287613,1723906159.226939,0.31325578689575195,195299,0.8802936673164368,,0.8802936673164368,0.31325578689575195,1.3679778575897217,1.3679778575897217,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
