,trainer/global_step,extrapolate_teacher_forcing_acc,_runtime,extrapolate_loss,extrapolate_perplexity,interpolate_perplexity,_timestamp,interpolate_loss,interpolate_teacher_forcing_acc,train_teacher_forcing_acc,_step,epoch,train_loss,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
49,164051.0,,13712.040158748627,,,,1723904921.0140867,,,0.9996584057807922,49.0,41.0,0.0014143016887828708,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
50,167957.0,,14026.97667646408,,,,1723905235.9506044,,,0.9996649026870728,50.0,42.0,0.0013728311751037836,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
51,171863.0,,14341.876564741135,,,,1723905550.8504927,,,0.9996689558029175,51.0,43.0,0.0013560407096520066,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
52,175769.0,0.9999823570251465,14715.855723619461,4.656184682971798e-05,1.000043272972107,1.000043272972107,1723905924.8296516,4.656184682971798e-05,0.9999823570251465,,52.0,44.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
53,175769.0,,14715.857491731644,,,,1723905924.8314197,,,0.9996820688247681,53.0,44.0,0.0013036022428423166,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
54,179675.0,,15030.703293323517,,,,1723906239.6772213,,,0.9996854066848755,54.0,45.0,0.0012993497075513005,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
55,183581.0,,15345.614691257477,,,,1723906554.5886192,,,0.9996875524520874,55.0,46.0,0.001305050915107131,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
56,187487.0,,15661.631043434143,,,,1723906870.6049714,,,0.9997028708457947,56.0,47.0,0.0012194033479318023,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
57,191393.0,,15976.586457967758,,,,1723907185.560386,,,0.9997072219848633,57.0,48.0,0.0012136551085859537,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
58,195299.0,0.9999764561653137,16350.645002126694,7.645634468644857e-05,1.00007164478302,1.00007164478302,1723907559.61893,7.645634468644857e-05,0.9999764561653137,,58.0,49.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
