,train_teacher_forcing_acc,train_loss,interpolate_loss,trainer/global_step,interpolate_perplexity,_runtime,extrapolate_loss,extrapolate_perplexity,interpolate_teacher_forcing_acc,epoch,extrapolate_teacher_forcing_acc,_timestamp,_step,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
40,,,0.23840954899787903,136709,1.2692689895629883,11542.81976723671,0.23840954899787903,1.2692689895629883,0.8784666061401367,34,0.8784666061401367,1723880316.0779443,40,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
41,0.8831879496574402,0.217973992228508,,136709,,11542.821542024612,,,,34,,1723880316.079719,41,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
42,0.8834139108657837,0.2172328233718872,,140615,,11860.496328830719,,,,35,,1723880633.7545059,42,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
43,0.8835549354553223,0.21648599207401276,,144521,,12178.290382146835,,,,36,,1723880951.5485592,43,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
44,0.8837873935699463,0.21584981679916382,,148427,,12496.250879764557,,,,37,,1723881269.5090568,44,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
45,0.8839934468269348,0.21512898802757263,,152333,,12814.063574314117,,,,38,,1723881587.3217514,45,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
46,,,0.23545412719249725,156239,1.2655259370803833,13190.970094680786,0.23545412719249725,1.2655259370803833,0.8796704411506653,39,0.8796704411506653,1723881964.2282717,46,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
47,0.8840888738632202,0.21453280746936798,,156239,,13190.97186923027,,,,39,,1723881964.2300463,47,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
48,0.8843463659286499,0.21401460468769073,,160145,,13508.827802419662,,,,40,,1723882282.0859795,48,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
49,0.884455680847168,0.21356086432933807,,164051,,13826.614207983017,,,,41,,1723882599.872385,49,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
50,0.8845278024673462,0.21298792958259583,,167957,,14144.428000688553,,,,42,,1723882917.6861777,50,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
51,0.8846678733825684,0.2124471813440323,,171863,,14462.099276065826,,,,43,,1723883235.357453,51,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
52,,,0.22998160123825073,175769,1.2586119174957275,14838.967180490494,0.22998160123825073,1.2586119174957275,0.8809966444969177,44,0.8809966444969177,1723883612.2253575,52,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
53,0.884833812713623,0.21196159720420837,,175769,,14838.968955993652,,,,44,,1723883612.227133,53,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
54,0.8850708603858948,0.21151548624038696,,179675,,15156.658350944519,,,,45,,1723883929.916528,54,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
55,0.8851941227912903,0.21097677946090698,,183581,,15474.410771131516,,,,46,,1723884247.6689482,55,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
56,0.8853000402450562,0.21056349575519562,,187487,,15792.329209804535,,,,47,,1723884565.5873868,56,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
57,0.8854004144668579,0.21018700301647186,,191393,,16110.122014760971,,,,48,,1723884883.3801918,57,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
58,,,0.22789892554283142,195299,1.2559967041015625,16487.037195920944,0.22789892554283142,1.2559967041015625,0.8823765516281128,49,0.8823765516281128,1723885260.295373,58,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
59,0.8855611681938171,0.20965547859668732,,195299,,16487.03895187378,,,,49,,1723885260.297129,59,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
60,0.8856188654899597,0.20929214358329773,,199205,,16804.959844350815,,,,50,,1723885578.2180214,60,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
61,0.8857793807983398,0.2089981734752655,,203111,,17122.761132717133,,,,51,,1723885896.0193098,61,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
62,0.885964572429657,0.20860819518566132,,207017,,17440.458597421646,,,,52,,1723886213.7167745,62,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
