,_step,_timestamp,trainer/global_step,interpolate_perplexity,train_loss,interpolate_teacher_forcing_acc,extrapolate_teacher_forcing_acc,interpolate_loss,extrapolate_loss,extrapolate_perplexity,train_teacher_forcing_acc,epoch,_runtime,d_model,n_layers_enc,n_layers_dec,symbol_retrieval,group,name
912,105,1715229679.2647495,347633,,0.21095463633537292,,,,,,0.9259263873100281,88,28698.310314416885,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
913,106,1715230054.086306,351539,1.2665504217147827,,0.9215925335884094,0.9215925335884094,0.23613972961902618,0.23613972961902618,1.2665504217147827,,89,29073.13187098503,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
914,107,1715230054.0884752,351539,,0.21062004566192627,,,,,,0.9261471033096313,89,29073.134040117264,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
915,108,1715230363.997793,355445,,0.2103375494480133,,,,,,0.9261435866355896,90,29383.04335784912,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
916,109,1715230673.774631,359351,,0.20978710055351257,,,,,,0.9264151453971863,91,29692.820195913315,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
917,110,1715230983.5936615,363257,,0.20923858880996704,,,,,,0.9265717267990112,92,30002.639226436615,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
918,111,1715231293.4139187,367163,,0.20891083776950836,,,,,,0.926694393157959,93,30312.459483623505,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
919,112,1715231668.1976109,371069,1.2657480239868164,,0.9212461113929749,0.9212461113929749,0.23550930619239807,0.23550930619239807,1.2657480239868164,,94,30687.24317574501,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
920,113,1715231668.199745,371069,,0.20833587646484375,,,,,,0.9268311858177185,94,30687.245309829712,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
921,114,1715231978.2134776,374975,,0.20807276666164398,,,,,,0.9269133806228638,95,30997.25904250145,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
