name,test/acc_hexos,_runtime,test/loss_hexos,_timestamp,test/loss_in_distribution,_wandb,_step,test/acc_stripes,test/loss_stripes,test/acc_in_distribution,sa_kwargs,d_model,image_shape,ra_type,n_layers,task,bias,norm_first,dff,activation,n_heads_sa,num_params,pool,symbol_retrieval_kwargs,patch_size,num_classes,val_size,ra_kwargs,dropout_rate,baseline_model,train_size,model_config,symbol_retrieval,group,n_heads_ra,model_name
xoccurs__predinet_train_size=2250__2024_08_05_00_56_00,0.6414999961853027,19.722224950790405,1.4567939043045044,1722833780.1540198,1.3697994947433472,{'runtime': 18},0.0,0.6456000208854675,1.4531710147857666,0.6633999943733215,,,,,,xoccurs,,,,,,376690,,,,,5000,,,predinet,2250,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,xoccurs__predinet,,predinet
xoccurs__corelnet_train_size=1250__2024_08_05_00_55_58,0.8037999868392944,26.664205074310303,1.6310396194458008,1722833784.94331,0.9860411882400512,{'runtime': 25},0.0,0.7961500287055969,1.4716291427612305,0.8680999875068665,,,,,,xoccurs,,,,,,215522,,,,,5000,,,corelnet,1250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,xoccurs__corelnet,,corelnet
occurs__corelnet_train_size=2500__2024_08_05_00_55_58,0.9251999855041504,30.673325777053833,0.4307542443275452,1722833789.4907277,0.1685432642698288,{'runtime': 29},0.0,0.8014500141143799,1.2952181100845337,0.9652000069618224,,,,,,occurs,,,,,,215522,,,,,5000,,,corelnet,2500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,occurs__corelnet,,corelnet
occurs__abstractor_train_size=1750__2024_08_05_00_55_51,0.7018499970436096,45.78452563285827,1.8314151763916016,1722833797.4592736,1.5505682229995728,{'runtime': 44},0.0,0.7079499959945679,1.7203556299209597,0.7271999716758728,,,,,,occurs,,,,,,469986,,,,,5000,,,abstractor,1750,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,occurs__abstractor,,abstractor
xoccurs__predinet_train_size=2000__2024_08_05_00_55_36,0.6330500245094299,19.335057497024536,1.502440094947815,1722833756.0512586,1.4385117292404177,{'runtime': 18},0.0,0.6219000220298767,1.6156998872756958,0.6499999761581421,,,,,,xoccurs,,,,,,376690,,,,,5000,,,predinet,2000,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,xoccurs__predinet,,predinet
xoccurs__corelnet_train_size=1000__2024_08_05_00_55_27,0.7984499931335449,26.570560693740845,1.977973461151123,1722833754.0977106,1.523047924041748,{'runtime': 25},0.0,0.7901999950408936,1.9350371360778809,0.8431000113487244,,,,,,xoccurs,,,,,,215522,,,,,5000,,,corelnet,1000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,xoccurs__corelnet,,corelnet
occurs__corelnet_train_size=2250__2024_08_05_00_55_22,0.939300000667572,30.53177380561829,0.4799896478652954,1722833753.4670258,0.24003902077674863,{'runtime': 29},0.0,0.842199981212616,1.5479620695114136,0.9639999866485596,,,,,,occurs,,,,,,215522,,,,,5000,,,corelnet,2250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,occurs__corelnet,,corelnet
xoccurs__predinet_train_size=1750__2024_08_05_00_55_13,0.6262500286102295,19.22466731071472,1.161951780319214,1722833732.900113,1.0808049440383911,{'runtime': 18},0.0,0.6266499757766724,1.1745713949203491,0.645799994468689,,,,,,xoccurs,,,,,,376690,,,,,5000,,,predinet,1750,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,xoccurs__predinet,,predinet
occurs__abstractor_train_size=1500__2024_08_05_00_55_00,0.652649998664856,46.431371450424194,3.0668909549713135,1722833747.3910654,2.4828782081604004,{'runtime': 45},0.0,0.6096500158309937,5.70578145980835,0.6723999977111816,,,,,,occurs,,,,,,469986,,,,,5000,,,abstractor,1500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,occurs__abstractor,,abstractor
xoccurs__corelnet_train_size=750__2024_08_05_00_54_54,0.7321500182151794,30.118067264556885,1.571071982383728,1722833724.9180422,1.4135640859603882,{'runtime': 28},0.0,0.7425500154495239,1.6022884845733645,0.7839000225067139,,,,,,xoccurs,,,,,,215522,,,,,5000,,,corelnet,750,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,xoccurs__corelnet,,corelnet
occurs__corelnet_train_size=2000__2024_08_05_00_54_49,0.8971499800682068,28.95592713356018,0.8106570839881897,1722833718.091284,0.43648311495780945,{'runtime': 27},0.0,0.8273500204086304,1.3491764068603516,0.9369999766349792,,,,,,occurs,,,,,,215522,,,,,5000,,,corelnet,2000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,occurs__corelnet,,corelnet
xoccurs__predinet_train_size=1500__2024_08_05_00_54_47,0.5676500201225281,21.499335289001465,2.4339582920074463,1722833709.4321404,2.1891798973083496,{'runtime': 20},0.0,0.5842000246047974,1.9247832298278809,0.5900999903678894,,,,,,xoccurs,,,,,,376690,,,,,5000,,,predinet,1500,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,xoccurs__predinet,,predinet
xoccurs__predinet_train_size=1250__2024_08_05_00_54_22,0.5705999732017517,21.975268363952637,2.198570251464844,1722833684.106913,2.103760004043579,{'runtime': 20},0.0,0.5541999936103821,2.9083235263824463,0.5827999711036682,,,,,,xoccurs,,,,,,376690,,,,,5000,,,predinet,1250,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,xoccurs__predinet,,predinet
xoccurs__corelnet_train_size=500__2024_08_05_00_54_20,0.6205499768257141,31.47846007347107,1.2185330390930176,1722833691.556632,1.2677088975906372,{'runtime': 30},0.0,0.65625,0.9280955791473388,0.6448000073432922,,,,,,xoccurs,,,,,,215522,,,,,5000,,,corelnet,500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,xoccurs__corelnet,,corelnet
occurs__corelnet_train_size=1750__2024_08_05_00_54_16,0.923799991607666,29.511738061904907,0.5459995865821838,1722833685.873081,0.24785669147968292,{'runtime': 28},0.0,0.8422999978065491,1.2095266580581665,0.961300015449524,,,,,,occurs,,,,,,215522,,,,,5000,,,corelnet,1750,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,occurs__corelnet,,corelnet
occurs__abstractor_train_size=1250__2024_08_05_00_54_14,0.5669000148773193,43.862911224365234,3.141388416290283,1722833698.0663471,2.4318976402282715,{'runtime': 42},0.0,0.5579500198364258,3.779311418533325,0.6029000282287598,,,,,,occurs,,,,,,469986,,,,,5000,,,abstractor,1250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,occurs__abstractor,,abstractor
