group,name,_runtime,test/loss_hexos,test/acc_in_distribution,_timestamp,test/acc_hexos,_step,_wandb,test/acc_stripes,test/loss_in_distribution,test/loss_stripes,d_model,n_layers,symbol_retrieval,n_heads_rca,n_heads_sa,rca_type,rca_kwargs.symmetric_rels,n_heads,task,train_size,model_name
1task_between__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,1task_between__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=2500__2024_05_09_21_01_26,89.68927001953125,0.9750795364379884,0.9304999709129332,1715302976.494552,0.8889600038528442,0.0,{'runtime': 88},0.8430799841880798,0.5553953647613525,1.1781847476959229,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,1task_between,2500,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
same__sa=2; d=128; L=2,same__sa=2; d=128; L=2_train_size=1000__2024_05_09_21_01_21,66.95845365524292,0.6913585662841797,0.8970000147819519,1715302948.8354895,0.8844000101089478,0.0,{'runtime': 65},0.8496500253677368,0.6296797394752502,0.8514418005943298,128,2,,,,,,2.0,same,1000,sa=2; d=128; L=2
same__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,same__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=2000__2024_05_09_21_01_13,102.42335772514345,0.52301025390625,0.9334999918937684,1715302976.1945658,0.915149986743927,0.0,{'runtime': 100},0.8429499864578247,0.42100653052330017,0.712502658367157,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,same,2000,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
xoccurs__sa=2; d=128; L=2,xoccurs__sa=2; d=128; L=2_train_size=2000__2024_05_09_21_00_46,73.15661215782166,2.390719413757324,0.5920000076293945,1715302919.7877452,0.574400007724762,0.0,{'runtime': 71},0.5727499723434448,2.2424721717834473,2.122859239578247,128,2,,,,,,2.0,xoccurs,2000,sa=2; d=128; L=2
occurs__sa=2; d=128; L=2,occurs__sa=2; d=128; L=2_train_size=1000__2024_05_09_21_00_44,66.50960230827332,2.429208517074585,0.633899986743927,1715302911.2036884,0.6215500235557556,0.0,{'runtime': 65},0.541450023651123,2.286695957183838,5.278264999389648,128,2,,,,,,2.0,occurs,1000,sa=2; d=128; L=2
xoccurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,xoccurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=2000__2024_05_09_21_00_40,94.28178763389587,1.5426113605499268,0.8195000290870667,1715302935.1768355,0.7455499768257141,0.0,{'runtime': 93},0.6600499749183655,1.02955424785614,2.5468037128448486,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,xoccurs,2000,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
1task_between__sa=2; d=128; L=2,1task_between__sa=2; d=128; L=2_train_size=1500__2024_05_09_21_00_19,69.68663597106934,0.8632270097732544,0.8611000180244446,1715302889.223523,0.8424599766731262,0.0,{'runtime': 68},0.8312000036239624,0.807470977306366,0.7426088452339172,128,2,,,,,,2.0,1task_between,1500,sa=2; d=128; L=2
occurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,occurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=2000__2024_05_09_21_00_14,90.703688621521,0.8590583801269531,0.9279999732971193,1715302905.4616296,0.8863000273704529,0.0,{'runtime': 89},0.776449978351593,0.47251155972480774,1.8357994556427,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,occurs,2000,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
same__sa=2; d=128; L=2,same__sa=2; d=128; L=2_train_size=750__2024_05_09_21_00_10,65.68347764015198,0.7443719506263733,0.8641999959945679,1715302876.1448076,0.8470500111579895,0.0,{'runtime': 64},0.7982000112533569,0.7007158994674683,0.95367693901062,128,2,,,,,,2.0,same,750,sa=2; d=128; L=2
1task_between__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,1task_between__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=2250__2024_05_09_20_59_52,89.35607481002808,0.8731799721717834,0.932799994945526,1715302881.5200598,0.9084200263023376,0.0,{'runtime': 87},0.8944600224494934,0.6167102456092834,0.6488872766494751,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,1task_between,2250,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
occurs__sa=2; d=128; L=2,occurs__sa=2; d=128; L=2_train_size=750__2024_05_09_20_59_32,68.48687314987183,2.20491886138916,0.6456000208854675,1715302841.136059,0.6268500089645386,0.0,{'runtime': 66},0.5927500128746033,2.294931411743164,2.867941379547119,128,2,,,,,,2.0,occurs,750,sa=2; d=128; L=2
xoccurs__sa=2; d=128; L=2,xoccurs__sa=2; d=128; L=2_train_size=1750__2024_05_09_20_59_30,73.05613446235657,2.767108201980591,0.5659999847412109,1715302843.4775264,0.546750009059906,0.0,{'runtime': 71},0.5436999797821045,2.8002572059631348,2.6991117000579834,128,2,,,,,,2.0,xoccurs,1750,sa=2; d=128; L=2
same__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,same__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=1750__2024_05_09_20_59_29,100.26513695716858,0.533404529094696,0.9355000257492064,1715302869.623805,0.9050999879837036,0.0,{'runtime': 99},0.8155500292778015,0.34768205881118774,0.9592393636703492,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,same,1750,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
1task_match_patt__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,1task_match_patt__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=15000__2024_05_09_20_59_21,138.77743196487427,0.953812301158905,0.9437000155448914,1715302900.19916,0.8714500069618225,0.0,{'runtime': 137},0.6988000273704529,0.3174322843551636,2.2796006202697754,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,1task_match_patt,15000,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
1task_between__sa=2; d=128; L=2,1task_between__sa=2; d=128; L=2_train_size=1250__2024_05_09_20_59_06,68.34213709831238,1.0370826721191406,0.8273000121116638,1715302815.3378122,0.8090800046920776,0.0,{'runtime': 66},0.7767199873924255,0.9488410949707032,1.26646089553833,128,2,,,,,,2.0,1task_between,1250,sa=2; d=128; L=2
same__sa=2; d=128; L=2,same__sa=2; d=128; L=2_train_size=500__2024_05_09_20_59_02,64.68049335479736,1.3748772144317627,0.7648000121116638,1715302806.8936534,0.7585499882698059,0.0,{'runtime': 63},0.7699000239372253,1.5008991956710815,1.17574942111969,128,2,,,,,,2.0,same,500,sa=2; d=128; L=2
xoccurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,xoccurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=1750__2024_05_09_20_59_02,94.2296860218048,1.364897608757019,0.8163999915122986,1715302836.971435,0.7458500266075134,0.0,{'runtime': 93},0.6357499957084656,0.9506775140762328,2.3286969661712646,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,xoccurs,1750,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
occurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,occurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=1750__2024_05_09_20_58_40,89.12782049179077,1.1670796871185305,0.91839998960495,1715302809.4914584,0.8690000176429749,0.0,{'runtime': 87},0.822700023651123,0.610517680644989,1.1990591287612915,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,occurs,1750,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
occurs__sa=2; d=128; L=2,occurs__sa=2; d=128; L=2_train_size=500__2024_05_09_20_58_20,67.66607236862183,3.169370412826538,0.5634999871253967,1715302768.3202574,0.5496500134468079,0.0,{'runtime': 66},0.5268999934196472,2.9947807788848877,4.385034561157227,128,2,,,,,,2.0,occurs,500,sa=2; d=128; L=2
1task_between__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,1task_between__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=2000__2024_05_09_20_58_20,87.98172998428345,0.7290878295898438,0.9372000098228456,1715302788.104083,0.9061200022697448,0.0,{'runtime': 86},0.9242799878120422,0.4004110395908356,0.3833220601081848,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,1task_between,2000,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
